epoch,iter,learning_rate,loss,loss_cls,loss_iou,loss_dfl,loss_l1
75,40,0.000306,1.588387,0.839658,0.127646,0.834306,0.284988
76,0,0.000299,1.614085,0.834468,0.141872,0.829506,0.2963
76,20,0.000291,1.586389,0.839458,0.133906,0.812511,0.273946
76,40,0.000282,1.643998,0.826089,0.148051,0.82528,0.297559
77,0,0.000276,1.596464,0.823512,0.143682,0.839704,0.296772
77,20,0.000268,1.512867,0.789985,0.128638,0.786275,0.267978
77,40,0.00026,1.573951,0.824964,0.144668,0.808838,0.275499
78,0,0.000253,1.604795,0.841388,0.145236,0.838673,0.310147
78,20,0.000246,1.579065,0.798789,0.142324,0.83123,0.312874
78,40,0.000238,1.551291,0.784843,0.137835,0.870583,0.301202
79,0,0.000232,1.599356,0.803935,0.147694,0.82253,0.29549
79,20,0.000224,1.524926,0.787309,0.131568,0.832071,0.305816
79,40,0.000217,1.534189,0.778414,0.138536,0.827679,0.293769
80,0,0.000211,1.598605,0.815444,0.141134,0.829914,0.286424
80,20,0.000204,1.591301,0.821135,0.141024,0.844489,0.318957
80,40,0.000197,1.591795,0.797881,0.132859,0.860444,0.314443
81,0,0.000191,1.577335,0.799901,0.137784,0.83258,0.296509
81,20,0.000184,1.575635,0.817873,0.136945,0.845759,0.305105
81,40,0.000178,1.558693,0.799859,0.135798,0.783655,0.289932
82,0,0.000172,1.514485,0.791843,0.134764,0.808204,0.265784
82,20,0.000166,1.551211,0.757427,0.135016,0.837171,0.288604
82,40,0.000159,1.456138,0.75762,0.125707,0.817458,0.266931
83,0,0.000154,1.551961,0.794912,0.140327,0.834747,0.286198
83,20,0.000148,1.540572,0.78887,0.136975,0.834075,0.295337
83,40,0.000142,1.581072,0.818275,0.131717,0.815185,0.293653
84,0,0.000137,1.531505,0.794998,0.127562,0.843475,0.275267
84,20,0.000131,1.592466,0.842013,0.13478,0.839059,0.280113
84,40,0.000125,1.508313,0.769075,0.128898,0.807119,0.271351
85,0,0.000121,1.549125,0.77738,0.137373,0.82484,0.279616
85,20,0.000115,1.495824,0.784315,0.129402,0.806616,0.267474
85,40,0.00011,1.55612,0.796503,0.148831,0.836494,0.317239
86,0,0.000105,1.497016,0.766627,0.135715,0.79251,0.273503
86,20,0.0001,1.524451,0.782451,0.135454,0.807344,0.280609
86,40,9.5e-05,1.541018,0.763233,0.146959,0.810612,0.288187
87,0,9.1e-05,1.523869,0.771779,0.140077,0.808947,0.288264
87,20,8.6e-05,1.49441,0.783547,0.130121,0.836661,0.281229
87,40,8.2e-05,1.494325,0.780348,0.129027,0.794943,0.267203
88,0,7.8e-05,1.514709,0.777047,0.133168,0.813985,0.277456
88,20,7.3e-05,1.496962,0.751108,0.131559,0.82005,0.278878
88,40,6.9e-05,1.56184,0.781622,0.134191,0.84367,0.304625
89,0,6.5e-05,1.522342,0.734825,0.137922,0.811311,0.272088
89,20,6.1e-05,1.54439,0.751292,0.145527,0.862119,0.315164
89,40,5.7e-05,1.464298,0.755444,0.124605,0.783805,0.259102
90,0,5.4e-05,1.486497,0.751912,0.127135,0.862401,0.309502
90,20,5e-05,1.531531,0.758324,0.138698,0.834586,0.299138
90,40,4.7e-05,1.534165,0.759341,0.13843,0.809201,0.299846
91,0,4.4e-05,1.474069,0.734819,0.129977,0.817689,0.286587
91,20,4.1e-05,1.497013,0.762526,0.127704,0.792469,0.274238
91,40,3.7e-05,1.500885,0.760139,0.133348,0.848491,0.294345
92,0,3.5e-05,1.477485,0.736249,0.124748,0.772636,0.287332
92,20,3.2e-05,1.57394,0.785871,0.14783,0.815279,0.298794
92,40,2.9e-05,1.51765,0.782974,0.143044,0.839716,0.311866
93,0,2.7e-05,1.504199,0.761812,0.132501,0.820033,0.281672
93,20,2.4e-05,1.474949,0.739747,0.12801,0.811411,0.275845
93,40,2.2e-05,1.527946,0.768092,0.144235,0.80265,0.301008
94,0,2e-05,1.485252,0.753379,0.127012,0.816324,0.275075
94,20,1.7e-05,1.570603,0.803241,0.129608,0.836049,0.285047
94,40,1.5e-05,1.53385,0.76376,0.136884,0.817211,0.308919
95,0,1.4e-05,1.486816,0.742607,0.134604,0.784453,0.27005
95,20,1.2e-05,1.488463,0.764211,0.131675,0.814718,0.305906
95,40,1e-05,1.520945,0.778001,0.127922,0.856087,0.301116
96,0,9e-06,1.559315,0.775115,0.127747,0.845224,0.294144
96,20,7e-06,1.436588,0.727898,0.133503,0.816552,0.27496
96,40,6e-06,1.536699,0.786132,0.14018,0.820313,0.287219
97,0,5e-06,1.499654,0.765487,0.130995,0.840274,0.286008
97,20,4e-06,1.569759,0.791927,0.131401,0.831241,0.279889
97,40,3e-06,1.600207,0.783931,0.141604,0.846465,0.331985
98,0,2e-06,1.541344,0.766463,0.141604,0.85762,0.301751
98,20,1e-06,1.514068,0.7423,0.128472,0.822536,0.291496
98,40,1e-06,1.547473,0.768533,0.136458,0.803153,0.299397
99,0,1e-06,1.528285,0.757089,0.133409,0.825378,0.284971
99,20,0.0,1.524844,0.769634,0.129464,0.816757,0.281126
99,40,0.0,1.506511,0.74388,0.13689,0.792732,0.277421
